       0 Box Box Flag = 17 X=-6017.930176, Y=781.247986, Z=-914.737000 (size =X=92.274002, Y=841.315002, Z=1711.309937)
       0 Box Box 2 Flag = 17 X=-7567.240234, Y=781.361023, Z=-5370.379883 (size =X=92.274002, Y=841.315002, Z=3258.415039)
       0 Box Box 3 Flag = 17 X=-7700.669922, Y=781.361023, Z=-2534.030029 (size =X=92.274002, Y=841.315002, Z=1711.310181)
       0 Box Box 4 Flag = 17 X=-6204.490234, Y=781.361023, Z=-8108.520020 (size =X=92.274002, Y=841.315002, Z=1711.309937)
       0 Box Box 5 Flag = 17 X=-3424.149902, Y=786.911987, Z=-7905.410156 (size =X=286.244995, Y=841.315002, Z=1616.170044)
       0 Box Box 6 Flag = 17 X=121.085999, Y=781.361023, Z=-7032.259766 (size =X=737.544983, Y=841.315002, Z=2657.360107)
       0 Box Box 7 Flag = 17 X=10210.200195, Y=781.361023, Z=-11208.799805 (size =X=126.296997, Y=841.315002, Z=8220.150391)
       0 Box Box 7 2 Flag = 17 X=10317.299805, Y=781.361023, Z=8935.830078 (size =X=223.680496, Y=841.315002, Z=6738.299805)
       0 Box Box 7 3 Flag = 17 X=16181.700195, Y=781.361023, Z=-1144.939941 (size =X=126.296997, Y=841.315002, Z=11112.849609)
       0 Box Box 1 Flag = 17 X=14429.500000, Y=781.361023, Z=416.774994 (size =X=92.274002, Y=841.315002, Z=2379.649902)
       0 Box Box 8 Flag = 17 X=15604.799805, Y=781.361023, Z=-1811.739990 (size =X=147.524002, Y=841.315002, Z=1188.380005)
       0 Box Box 8 1 Flag = 17 X=15588.099609, Y=781.361023, Z=2643.550049 (size =X=147.524002, Y=841.315002, Z=1188.380005)
       0 Box Box 8 2 Flag = 17 X=4410.250000, Y=781.361023, Z=-9561.209961 (size =X=147.524002, Y=825.114990, Z=3667.844971)
       0 Box Box 8 3 Flag = 17 X=-4097.390137, Y=781.361023, Z=2402.090088 (size =X=147.524002, Y=841.315002, Z=5063.399902)
       0 Box Box 8 4 Flag = 17 X=1650.150024, Y=781.361023, Z=4793.259766 (size =X=147.524002, Y=841.315002, Z=3542.294922)
       0 Box Box 8 5 Flag = 17 X=5043.709961, Y=781.361023, Z=7527.629883 (size =X=147.524002, Y=841.315002, Z=2847.205078)
       0 Box Box 8 6 Flag = 1 X=6459.724609, Y=-129.961304, Z=-1688.674683 (size =X=147.523911, Y=12540.223633, Z=18608.488281)
